1,Okoko,ChIJvTZWq1D0bUgRY6tph5nWUlg,https://maps.googleapis.com/maps/api/place/textsearch/json?query=nightclubs+in+shoreditch&key=AIzaSy,51.017777,-3.104152,"4 Bridge Street, Taunton, Somerset TA1 1UB, United Kingdom",Monday: ClosedTuesday: ClosedWednesday: ClosedThursday: 10:00 pm â€“ 3:00 amFriday: 10:00 pm â€“ 3:0,2015-01-07 12:05:17,4.5,night_club,bar,establishment,...,...,...,...,...
2,Black Horse Inn,ChIJ99rjqFD0bUgR_J5RPDQ6Lhc,https://maps.googleapis.com/maps/api/place/textsearch/json?query=nightclubs+in+shoreditch&key=AIzaSy,51.018553,-3.104892,"36 Bridge Street, Taunton TA1 1UD, United Kingdom",,2015-01-07 12:05:17,,night_club,lodging,establishment,...,...,...,...,...
3,Palace Nightclub,ChIJu70IUWIIckgRB9F33p0bxJU,https://maps.googleapis.com/maps/api/place/textsearch/json?query=nightclubs+in+shoreditch&key=AIzaSy,51.127407,-3.008475,"24-26 Penel Orlieu, Bridgwater TA6 3PF, United Kingdom",,2015-01-07 12:05:17,,night_club,establishment,...,...,...,...,...,...
4,The Canalside,ChIJvweVpe8IckgR0Lgw2CStmQ4,https://maps.googleapis.com/maps/api/place/textsearch/json?query=nightclubs+in+shoreditch&key=AIzaSy,51.112151,-2.989308,"Marsh Lane, Bridgwater, Somerset TA6 6LQ, United Kingdom",Monday: 9:00 am â€“ 5:00 pmTuesday: 9:00 am â€“ 5:00 pmWednesday: 9:00 am â€“ 5:00 pmThursday: 9:00 ,2015-01-07 12:05:18,,night_club,establishment,...,...,...,...,...,...
5,The Choughs Hotel,ChIJO35PhJJ2ckgRO-aT1kVQkPU,https://maps.googleapis.com/maps/api/place/textsearch/json?query=nightclubs+in+shoreditch&key=AIzaSy,50.872718,-2.966825,"8 High Street, Chard, Somerset TA20 1QB, United Kingdom",,2015-01-07 12:05:18,,night_club,bar,restaurant,food,establishment,...,...,...
6,Past & Present Discos,ChIJCx8NCoEIckgRxFI8Aw_i1Ds,https://maps.googleapis.com/maps/api/place/textsearch/json?query=nightclubs+in+shoreditch&key=AIzaSy,51.138343,-3.003182,"86 Riverside Close, Bridgwater, Somerset TA6 3PP, United Kingdom",,2015-01-07 12:05:19,,night_club,establishment,...,...,...,...,...,...
7,Remedies Bar,ChIJZR00iGIIckgRhN7be8uhJkQ,https://maps.googleapis.com/maps/api/place/textsearch/json?query=nightclubs+in+shoreditch&key=AIzaSy,51.127839,-3.007304,"62 High Street, Bridgwater TA6 3BN, United Kingdom",,2015-01-07 12:05:19,,night_club,bar,establishment,...,...,...,...,...
8,Blake Hall,ChIJK7ORaokIckgRRGjzVzB9WNU,https://maps.googleapis.com/maps/api/place/textsearch/json?query=nightclubs+in+shoreditch&key=AIzaSy,51.126529,-3.001679,"1 Saint Saviours Avenue, Bridgwater TA6 3NZ, United Kingdom",,2015-01-07 12:05:19,,night_club,establishment,...,...,...,...,...,...
9,DJ with Disco,ChIJO1yceIsIckgRmVXGtxWIUl0,https://maps.googleapis.com/maps/api/place/textsearch/json?query=nightclubs+in+shoreditch&key=AIzaSy,51.12279,-3.00007,"83 Taunton Road, Bridgwater, Somerset TA6 6AD, United Kingdom",Monday: 9:00 am â€“ 11:30 pmTuesday: 9:00 am â€“ 11:30 pmWednesday: 9:00 am â€“ 11:30 pmThursday: 9:,2015-01-07 12:05:20,,night_club,bar,establishment,...,...,...,...,...
10,Echo Discos,ChIJG6vqXhMIckgR6xu7ZXo-kr4,https://maps.googleapis.com/maps/api/place/textsearch/json?query=nightclubs+in+shoreditch&key=AIzaSy,50.959655,-3.267611,"Bridgwater, Somerset, United Kingdom",,2015-01-07 12:05:20,,night_club,establishment,...,...,...,...,...,...
11,TNT Disco,ChIJxXT_ibDybUgRphKJCrAAFa0,https://maps.googleapis.com/maps/api/place/textsearch/json?query=nightclubs+in+shoreditch&key=AIzaSy,50.977496,-3.22009,"64 Laburnum Road, Wellington, Somerset TA21 7EN, United Kingdom",,2015-01-07 12:05:20,,night_club,bar,establishment,...,...,...,...,...
12,Sparky Watts Disco,ChIJRdrGcmZuckgRb5wNpHgA0mU,https://maps.googleapis.com/maps/api/place/textsearch/json?query=nightclubs+in+shoreditch&key=AIzaSy,50.879344,-2.795721,"Crewkerne, United Kingdom",Monday: 8:00 am â€“ 10:00 pmTuesday: 8:00 am â€“ 10:00 pmWednesday: 8:00 am â€“ 10:00 pmThursday: 8:,2015-01-07 12:05:21,,night_club,bar,establishment,...,...,...,...,...
13,Chard Disco,ChIJ8UeQ2O12ckgRh_bSrcMNoXs,https://maps.googleapis.com/maps/api/place/textsearch/json?query=nightclubs+in+shoreditch&key=AIzaSy,50.865385,-2.964099,"Chard, United Kingdom",Monday: 9:00 am â€“ 10:00 pmTuesday: 9:00 am â€“ 10:00 pmWednesday: 9:00 am â€“ 10:00 pmThursday: 9:,2015-01-07 12:05:21,,store,night_club,bar,establishment,...,...,...,...
14,Shout,ChIJp9fDw1X0bUgRcTkveKV3-T0,https://maps.googleapis.com/maps/api/place/textsearch/json?query=nightclubs+in+shoreditch&key=AIzaSy,51.01465,-3.097367,"43-45 East St, Taunton, Somerset TA1 3NA, United Kingdom",,2015-01-07 12:05:21,,establishment,...,...,...,...,...,...,...
15,The Somerset Inn,ChIJ57m1eKv1bUgR1-ZbLE6UNjY,https://maps.googleapis.com/maps/api/place/textsearch/json?query=nightclubs+in+shoreditch&key=AIzaSy,51.017688,-3.089289,"46 Alfred Street, Taunton, Somerset TA1 3HY, United Kingdom",,2015-01-07 12:05:22,,bar,lodging,establishment,...,...,...,...,...
16,Kings Arms,ChIJIVrQiKXybUgRlGTvc23Dt0Y,https://maps.googleapis.com/maps/api/place/textsearch/json?query=nightclubs+in+shoreditch&key=AIzaSy,50.978602,-3.22734,"4 High Street, Wellington TA21 8RA, United Kingdom",Monday: 11:00 am â€“ 2:00 amTuesday: 11:00 am â€“ 2:00 amWednesday: 11:00 am â€“ 2:00 amThursday: 11,2015-01-07 12:05:22,,bar,restaurant,food,establishment,...,...,...,...
17,The Plough Inn,ChIJGTFzXlD0bUgRL2Jldu0Yzk8,https://maps.googleapis.com/maps/api/place/textsearch/json?query=nightclubs+in+shoreditch&key=AIzaSy,51.021111,-3.103534,"75 Station Road, Taunton, Somerset TA1 1PB, United Kingdom",Monday: 11:00 am â€“ 12:00 amTuesday: 11:00 am â€“ 12:00 amWednesday: 11:00 am â€“ 12:00 amThursday:,2015-01-07 12:05:22,4.8,bar,establishment,...,...,...,...,...,...
18,The Gallery,ChIJVQuah2IIckgREs1Q39C6GJ8,https://maps.googleapis.com/maps/api/place/textsearch/json?query=nightclubs+in+shoreditch&key=AIzaSy,51.127964,-3.007007,"54 High Street, Bridgwater TA6 3BN, United Kingdom",,2015-01-07 12:05:23,,bar,establishment,...,...,...,...,...,...
19,Mill Farm Caravan and Camping Park,ChIJaQ_mcrj5bUgRNlVDvf0T7zc,https://maps.googleapis.com/maps/api/place/textsearch/json?query=nightclubs+in+shoreditch&key=AIzaSy,51.161701,-3.116877,"Fiddington, Bridgwater, Somerset TA5 1JQ, United Kingdom",Monday: 10:00 am â€“ 7:00 pmTuesday: 10:00 am â€“ 7:00 pmWednesday: 10:00 am â€“ 7:00 pmThursday: 10,2015-01-07 12:05:23,3.9,rv_park,campground,park,lodging,establishment,...,...,...
20,Cricket St Thomas Estate,ChIJkVB4UwJxckgR43B57L4L3KI,https://maps.googleapis.com/maps/api/place/textsearch/json?query=nightclubs+in+shoreditch&key=AIzaSy,50.882299,-2.877575,"Estate Office, Manor Farm, Cricket St. Thomas, Chard, Somerset TA20 4BZ, United Kingdom",Monday: 7:30 â€“ 9:45 pmTuesday: 7:30 â€“ 9:45 pmWednesday: 7:30 â€“ 9:45 pmThursday: 7:30 â€“ 9:45 ,2015-01-07 12:05:23,2.8,establishment,...,...,...,...,...,...,...
21,The Mount Somerset,ChIJe3ufnJwKckgRNz6N59hXYZk,https://maps.googleapis.com/maps/api/place/textsearch/json?query=best+clubs+in+shoreditch&key=AIzaSy,51.002462,-3.037728,"Lower Henlade, Somerset TA3 5NB, United Kingdom",,2015-01-07 18:00:41,,lodging,spa,establishment,...,...,...,...,...
22,Taunton & Pickeridge Golf Club,ChIJNRUvKNSKbUgR8pwdALfCQcU,https://maps.googleapis.com/maps/api/place/textsearch/json?query=best+clubs+in+shoreditch&key=AIzaSy,50.962639,-3.082203,"Corfe, Taunton TA3 7BY, United Kingdom",,2015-01-07 18:00:41,,establishment,...,...,...,...,...,...,...
23,B A S C,ChIJQwQurbaKbUgRTb1GWeu7680,https://maps.googleapis.com/maps/api/place/textsearch/json?query=best+clubs+in+shoreditch&key=AIzaSy,50.966637,-3.056377,"Smokey Bottom Lodge, Staple Fitzpaine, Taunton TA3 5BL, United Kingdom",Monday: 9:00 am â€“ 4:30 pmTuesday: 9:00 am â€“ 4:30 pmWednesday: 9:00 am â€“ 4:30 pmThursday: 9:00 ,2015-01-07 18:00:41,,establishment,...,...,...,...,...,...,...
24,Taunton Vale Golf Club,ChIJpTL80T8KckgRs2rd2CLR2rU,https://maps.googleapis.com/maps/api/place/textsearch/json?query=best+clubs+in+shoreditch&key=AIzaSy,51.043651,-3.026063,"Creech Heathfield, Taunton TA3 5EY, United Kingdom",,2015-01-07 18:00:41,,establishment,...,...,...,...,...,...,...
25,Blackbrook Pavilion,ChIJ-xta6gv1bUgR8nfxbv_qppg,https://maps.googleapis.com/maps/api/place/textsearch/json?query=best+clubs+in+shoreditch&key=AIzaSy,51.009763,-3.072076,"Blackbrook Way, Taunton, Somerset TA1 2RW, United Kingdom",Monday: 6:30 am â€“ 10:00 pmTuesday: 6:30 am â€“ 10:00 pmWednesday: 6:30 am â€“ 10:00 pmThursday: 6:,2015-01-07 18:00:41,,gym,health,establishment,...,...,...,...,...
26,Palace Nightclub,ChIJu70IUWIIckgRB9F33p0bxJU,https://maps.googleapis.com/maps/api/place/textsearch/json?query=best+clubs+in+shoreditch&key=AIzaSy,51.127407,-3.008475,"24-26 Penel Orlieu, Bridgwater TA6 3PF, United Kingdom",,2015-01-07 18:00:41,,night_club,establishment,...,...,...,...,...,...
27,Wellington Sports Centre,ChIJB-3-h1ftbUgRBxCRHEI3TaI,https://maps.googleapis.com/maps/api/place/textsearch/json?query=best+clubs+in+shoreditch&key=AIzaSy,50.979365,-3.239883,"Corams Lane, Wellington, Somerset TA21 8LL, United Kingdom",Monday: 7:00 am â€“ 10:00 pmTuesday: 7:00 am â€“ 10:00 pmWednesday: 7:00 am â€“ 10:00 pmThursday: 7:,2015-01-07 18:00:41,4.3,park,gym,health,spa,establishment,...,...,...
28,Yorkshire Building Society,ChIJD5N1a1b0bUgRVn_yJ4qspRE,https://maps.googleapis.com/maps/api/place/textsearch/json?query=best+clubs+in+shoreditch&key=AIzaSy,51.014518,-3.099631,"60 East St, Taunton, Somerset TA1 3LX, United Kingdom",Monday: 9:00 am â€“ 5:00 pmTuesday: 9:00 am â€“ 5:00 pmWednesday: 9:30 am â€“ 5:00 pmThursday: 9:00 ,2015-01-07 18:00:42,,atm,bank,finance,establishment,...,...,...,...
29,Wellsprings Leisure Centre,ChIJM16myzb0bUgRQl6FcEApI2w,https://maps.googleapis.com/maps/api/place/textsearch/json?query=best+clubs+in+shoreditch&key=AIzaSy,51.038897,-3.102918,"Taunton, Somerset TA2 7, United Kingdom",Monday: 7:00 am â€“ 10:00 pmTuesday: 8:00 am â€“ 9:00 pmWednesday: 7:00 am â€“ 9:00 pmThursday: 8:00,2015-01-07 18:00:42,,gym,health,establishment,...,...,...,...,...
30,Mecca Bingo Club,ChIJAYDPIlj0bUgRMI1-7m-tZ2Y,https://maps.googleapis.com/maps/api/place/textsearch/json?query=best+clubs+in+shoreditch&key=AIzaSy,51.014573,-3.105301,"Corporation Street, Taunton, Somerset TA1 4AJ, United Kingdom",,2015-01-07 18:00:42,,establishment,...,...,...,...,...,...,...
31,The Cleve Hotel & Spa,ChIJIYS6Z1btbUgRCK3gcx1QKmc,https://maps.googleapis.com/maps/api/place/textsearch/json?query=best+clubs+in+shoreditch&key=AIzaSy,50.974034,-3.237848,"Mantle Street, Wellington, Taunton, Somerset TA21 8SN, United Kingdom",,2015-01-07 18:00:42,,gym,lodging,spa,health,establishment,...,...,...
32,Wellington Rugby Football Club,ChIJRbTj-FjtbUgRnKydWBpTsbw,https://maps.googleapis.com/maps/api/place/textsearch/json?query=best+clubs+in+shoreditch&key=AIzaSy,50.979314,-3.238738,"Corams La, Wellington TA21 8LL, United Kingdom",Monday: 10:00 am â€“ 3:00 pmTuesday: 10:00 am â€“ 3:00 pmWednesday: 10:00 am â€“ 3:00 pmThursday: 10,2015-01-07 18:00:42,,establishment,...,...,...,...,...,...,...
33,Cadeside Caravan Club Site,ChIJY9Vmyb_ybUgR8OXpIAiI0-U,https://maps.googleapis.com/maps/api/place/textsearch/json?query=best+clubs+in+shoreditch&key=AIzaSy,50.985863,-3.21695,"Nynehead Road, Wellington, Somerset TA21 9HN, United Kingdom",,2015-01-07 18:00:42,,rv_park,park,lodging,establishment,...,...,...,...
34,Taunton Rugby Football Club,ChIJp3392I_1bUgRujn-TJ3sQ5s,https://maps.googleapis.com/maps/api/place/textsearch/json?query=best+clubs+in+shoreditch&key=AIzaSy,51.026139,-3.05849,"Hyde Park, Hyde Ln, Taunton, Somerset TA2 8BU, United Kingdom",,2015-01-07 18:00:43,,establishment,...,...,...,...,...,...,...
35,Cedar Falls Health Farm & Spa,ChIJD-enbnbxbUgRyAvM5j0-v0o,https://maps.googleapis.com/maps/api/place/textsearch/json?query=best+clubs+in+shoreditch&key=AIzaSy,51.067018,-3.194621,"Bishops Lydeard, Taunton TA4 3HR, United Kingdom",Monday: 8:00 â€“ 10:00 pmTuesday: 8:00 â€“ 10:00 pmWednesday: 8:00 â€“ 10:00 pmThursday: 8:00 â€“ 10,2015-01-07 18:00:43,,lodging,spa,health,establishment,...,...,...,...
36,Spice Club,ChIJO7QJNI8IckgR2GCHq2kcHv0,https://maps.googleapis.com/maps/api/place/textsearch/json?query=best+clubs+in+shoreditch&key=AIzaSy,51.128918,-3.000055,"10 Eastover, Bridgwater TA6 5AB, United Kingdom","Monday: 12:00 â€“ 2:00 pm, 5:30 pm â€“ 12:00 amTuesday: 12:00 â€“ 2:00 pm, 5:30 pm â€“ 12:00 amWedne",2015-01-07 18:00:43,4.3,restaurant,food,establishment,...,...,...,...,...
37,The Duke Of York,ChIJPR8LiplyckgRYxkv6GuQlVA,https://maps.googleapis.com/maps/api/place/textsearch/json?query=best+clubs+in+shoreditch&key=AIzaSy,50.951341,-2.851982,"North Street, Shepton Beauchamp, Ilminster, Somerset TA19 0LW, United Kingdom",,2015-01-07 18:00:43,,bar,restaurant,lodging,food,establishment,...,...,...
38,Somerset County Cricket Club,ChIJKQfbNlH0bUgRNDFQ9Xnxo10,https://maps.googleapis.com/maps/api/place/textsearch/json?query=best+clubs+in+shoreditch&key=AIzaSy,51.019052,-3.101043,"The County Ground, Saint James Street, Taunton, Somerset TA1 1JT, United Kingdom",,2015-01-07 18:00:43,4.7,stadium,museum,establishment,...,...,...,...,...
39,Bridgwater & Albion RFC,ChIJk6IKMpkIckgRJlN36SoI_UQ,https://maps.googleapis.com/maps/api/place/textsearch/json?query=best+clubs+in+shoreditch&key=AIzaSy,51.133202,-2.988117,"College Way, Bath Road, Bridgwater, Somerset TA6 4TZ, United Kingdom",,2015-01-07 18:00:43,,establishment,...,...,...,...,...,...,...
40,Mecca Bingo Club,ChIJMRd8WGIIckgRgfpNbGHyiPQ,https://maps.googleapis.com/maps/api/place/textsearch/json?query=best+clubs+in+shoreditch&key=AIzaSy,51.12767,-3.008403,"Classic Buildings, Penel Orlieu, Bridgwater TA6 3PQ, United Kingdom",,2015-01-07 18:00:44,,establishment,...,...,...,...,...,...,...
41,Criterion Restaurant,ChIJYRe8_tMEdkgRr_J6bdITC1U,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?location=51.5072,-0.1275&radius=500&typ",51.509704,-0.134091,"224 Piccadilly, London W1J 9HP, United Kingdom","Monday: 12:00 â€“ 2:30 pm, 5:30 â€“ 10:30 pm, 5:30 â€“ 11:30 pmTuesday: 12:00 â€“ 2:30 pm, 5:30 â€“ ",2015-01-07 18:02:52,4.2,bar,restaurant,food,establishment,...,...,...,...
42,Heaven,ChIJDVBtxs4EdkgRrFuVtkDtSP0,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?location=51.5072,-0.1275&radius=500&typ",51.508043,-0.124141,"The Arches, Villiers Street, London WC2N 6NG, United Kingdom",Monday: 11:00 pm â€“ 5:30 amTuesday: ClosedWednesday: ClosedThursday: 11:00 pm â€“ 4:30 amFriday: 11,2015-01-07 18:02:53,3.6,night_club,bar,establishment,...,...,...,...,...
43,Simpsons-in-the-Strand,ChIJCyGjxMsEdkgR56s8-gFqDnU,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?location=51.5072,-0.1275&radius=500&typ",51.510551,-0.120565,"100 Strand, London WC2R 0EW, United Kingdom","Monday: 7:15 â€“ 10:45 am, 12:00 â€“ 2:45 pm, 5:45 â€“ 10:30 pmTuesday: 7:15 â€“ 10:45 am, 12:00 â€“",2015-01-07 18:02:53,4.2,bar,restaurant,food,establishment,...,...,...,...
44,Tattershall Castle,ChIJR3wAzLEEdkgRTdaPTuBjrA4,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?location=51.5072,-0.1275&radius=500&typ",51.505612,-0.12217,"Victoria Embankment, Whitehall, London SW1A 2HR, United Kingdom",Monday: 11:00 am â€“ 11:00 pmTuesday: 11:00 am â€“ 11:00 pmWednesday: 11:00 am â€“ 11:00 pmThursday:,2015-01-07 18:02:53,3.6,night_club,bar,restaurant,food,establishment,...,...,...
45,Rules,ChIJbUnC58oEdkgR4pwzPtYGrbY,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?location=51.5072,-0.1275&radius=500&typ",51.510744,-0.123192,"34-35 Maiden Lane, London WC2E 7LB, United Kingdom",Monday: 12:00 pm â€“ 12:00 amTuesday: 12:00 pm â€“ 12:00 amWednesday: 12:00 pm â€“ 12:00 amThursday:,2015-01-07 18:02:53,4.2,bar,restaurant,food,establishment,...,...,...,...
46,Institute Of Contemporary Arts,ChIJpwrHSNAEdkgR1YO1RjflYXw,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?location=51.5072,-0.1275&radius=500&typ",51.506334,-0.130961,"The Mall, London SW1Y 5AH, United Kingdom",Monday: ClosedTuesday: 11:00 am â€“ 9:00 pmWednesday: 11:00 am â€“ 9:00 pmThursday: 11:00 am â€“ 9:0,2015-01-07 18:02:53,4.2,book_store,store,cafe,bar,art_gallery,food,establishment,...
47,Sofitel London St James,ChIJKU7H_9AEdkgR4yo4FD1eNXc,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?location=51.5072,-0.1275&radius=500&typ",51.507579,-0.132253,"6 Waterloo Place, London SW1Y 4AN, United Kingdom",,2015-01-07 18:02:54,4.3,bar,lodging,establishment,...,...,...,...,...
48,Tiger Tiger London,ChIJ4-x71NMEdkgRz6HmRwuECqs,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?location=51.5072,-0.1275&radius=500&typ",51.50963,-0.132408,"29 Haymarket, London SW1Y 4SP, United Kingdom",Monday: 12:00 pm â€“ 3:00 amTuesday: 12:00 pm â€“ 3:00 amWednesday: 12:00 pm â€“ 3:00 amThursday: 12,2015-01-07 18:02:54,2.9,bar,restaurant,food,establishment,...,...,...,...
49,The Hippodrome Casino London,ChIJdcOZc9IEdkgROPIytVFeGXU,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?location=51.5072,-0.1275&radius=500&typ",51.511407,-0.128646,"Cranbourn Street, Leicester Square, London WC2H 7JH, United Kingdom",Monday: Open 24 hoursTuesday: Open 24 hoursWednesday: Open 24 hoursThursday: Open 24 hoursFriday: Op,2015-01-07 18:02:54,3.7,bar,casino,establishment,...,...,...,...,...
50,Amba Hotel,ChIJZf2Jlc4EdkgRklHks51KYBo,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?location=51.5072,-0.1275&radius=500&typ",51.508391,-0.124717,"Strand, Charing Cross, London WC2N 5HX, United Kingdom",,2015-01-07 18:02:54,4.2,bar,lodging,establishment,...,...,...,...,...
51,The Savage Club,ChIJ6VUoN88EdkgRCV_BYx7doxM,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?location=51.5072,-0.1275&radius=500&typ",51.506242,-0.124218,"1 Whitehall Place, London SW1A 2HD, United Kingdom",Monday: 12:00 â€“ 11:00 pmTuesday: 12:00 â€“ 11:00 pmWednesday: 12:00 â€“ 11:00 pmThursday: 12:00 â€,2015-01-07 18:02:54,,bar,establishment,...,...,...,...,...,...
52,Porters English Restaurant,ChIJySOgh8sEdkgRV1pMc43Wxg4,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?location=51.5072,-0.1275&radius=500&typ",51.510844,-0.124058,"17 Henrietta Street, London WC2E 8QH, United Kingdom",Monday: 12:00 â€“ 10:30 pmTuesday: 12:00 â€“ 10:30 pmWednesday: 12:00 â€“ 11:00 pmThursday: 12:00 â€,2015-01-07 18:02:55,3.7,bar,restaurant,food,establishment,...,...,...,...
53,Fire & Stone,ChIJnYsPisQEdkgRNRL4gdbWBGc,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?location=51.5072,-0.1275&radius=500&typ",51.510674,-0.123434,"31/32 Maiden Ln, Covent Garden, London WC2E 7JS, United Kingdom",Monday: 12:00 â€“ 11:00 pmTuesday: 12:00 â€“ 11:00 pmWednesday: 12:00 â€“ 11:00 pmThursday: 12:00 pm,2015-01-07 18:02:55,3.6,bar,restaurant,food,establishment,...,...,...,...
54,The Trafalgar Hilton Hotel,ChIJt2xYKc4EdkgRiSOCe1hI2zU,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?location=51.5072,-0.1275&radius=500&typ",51.507349,-0.129162,"2 Spring Gardens, Trafalgar Square, London SW1A 2TS, United Kingdom",Monday: Open 24 hoursTuesday: Open 24 hoursWednesday: Open 24 hoursThursday: Open 24 hoursFriday: Op,2015-01-07 18:02:55,4.1,gym,bar,lodging,health,establishment,...,...,...
55,Terroirs,ChIJq0TAnM4EdkgRgtNY68gEtrg,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?location=51.5072,-0.1275&radius=500&typ",51.509167,-0.125231,"5 William IV Street, London WC2N 4DW, United Kingdom",Monday: 12:00 â€“ 11:00 pmTuesday: 12:00 â€“ 11:00 pmWednesday: 12:00 â€“ 11:00 pmThursday: 12:00 â€,2015-01-07 18:02:55,4.2,bar,establishment,...,...,...,...,...,...
